,Filename,ContaminationFraction,KernelScale,Lambda,NumExpansionDimensions,StandardizeData,BetaTolerance,GradientTolerance,IterationLimit,Parameter_Iteration,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
2380,smtp,0,1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2381,smtp,0.05,1,auto,auto,0,0.0001,0.0001,1000,8,0.0087719298245614,0.0087719298245614,0.0087719298245614,0.0087719298245614,0.0083542188805346,0.0087719298245614,0.0091896407685881,0.0087719298245614,0.0091896407685881,0.0087719298245614
2382,smtp,0.1,1,auto,auto,0,0.0001,0.0001,1000,8,0.0048187722606327,0.0046092604232139,0.0046092604232139,0.0048187722606327,0.0046092604232139,0.0048187722606327,0.0048187722606327,0.0044002095337873,0.0041906757464641,0.0048187722606327
2383,smtp,0.15,1,auto,auto,0,0.0001,0.0001,1000,8,0.0032161085087044,0.0032161085087044,0.0029364468992519,0.0032161085087044,0.0032161085087044,0.0032163333799468,0.0030762777039781,0.0032161085087044,0.0030762777039781,0.0032161085087044
2384,smtp,0.2,1,auto,auto,0,0.0001,0.0001,1000,8,0.0024133046534809,0.0020985257856355,0.0023083783641991,0.0024133046534809,0.0024133046534809,0.002308499475341,0.0024133046534809,0.0022034520749173,0.0024133046534809,0.0024134312696747
2385,smtp,0.25,1,auto,auto,0,0.0001,0.0001,1000,8,0.0019312313699147,0.0019312313699147,0.0019312313699147,0.0019312313699147,0.0019312313699147,0.0019312313699147,0.0018472647886141,0.0017632982073134,0.0019312313699147,0.0018473423461247
2386,smtp,LOF,1,auto,auto,0,0.0001,0.0001,1000,8,0.0161943319838056,0.0161943319838056,0.0153846153846153,0.0129554655870445,0.0170040485829959,0.0161943319838056,0.0170040485829959,0.0153846153846153,0.0170040485829959,0.0170040485829959
2387,smtp,IF,1,auto,auto,0,0.0001,0.0001,1000,8,0.0032552544052084,0.0032550240588734,0.0032550240588734,0.0032550240588734,0.003113501273705,0.0029719784885366,0.0032550240588734,0.0032550240588734,0.003113501273705,0.0029719784885366
2388,smtp,0,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2389,smtp,0,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2390,smtp,0,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2391,smtp,0,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2392,smtp,0,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2393,smtp,0,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2394,smtp,0,2,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2395,smtp,0,5,auto,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2396,smtp,0,1,0.01,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2397,smtp,0,1,0.05,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2398,smtp,0,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2399,smtp,0,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,smtp,0,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2401,smtp,0,1,1,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2402,smtp,0,1,2,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2403,smtp,0,1,5,auto,0,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2404,smtp,0,1,auto,auto,1,0.0001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2405,smtp,0,1,auto,auto,0,0.01,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2406,smtp,0,1,auto,auto,0,0.001,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2407,smtp,0,1,auto,auto,0,1e-05,0.0001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2408,smtp,0,1,auto,auto,0,0.0001,0.001,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2409,smtp,0,1,auto,auto,0,0.0001,1e-05,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2410,smtp,0,1,auto,auto,0,0.0001,1e-06,1000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2411,smtp,0,1,auto,auto,0,0.0001,0.0001,100,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2412,smtp,0,1,auto,auto,0,0.0001,0.0001,200,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2413,smtp,0,1,auto,auto,0,0.0001,0.0001,500,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2414,smtp,0,1,auto,auto,0,0.0001,0.0001,2000,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4132,smtp,IF,auto,auto,auto,0,0.0001,0.0001,1000,8,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029721888047555,0.0029719784885366,0.0029719784885366,0.0029721888047555,0.0029719784885366,0.0029719784885366
4133,smtp,IF,0.01,auto,auto,0,0.0001,0.0001,1000,8,0.0005660911406736,0.0004245683555052,0.0002831257078142,0.0009906594961788,0.0014152278516841,0.0002830455703368,0.0011321822813472,0.0008491367110104,0.0019814592031703,0.0007077140835102
4134,smtp,IF,0.05,auto,auto,0,0.0001,0.0001,1000,8,0.0015567506368525,0.003113501273705,0.0018397962071893,0.0009906594961788,0.000707613925842,0.0004245683555052,0.0018397962071893,0.0009907997169143,0.0014152278516841,0.0015567506368525
4135,smtp,IF,0.1,auto,auto,0,0.0001,0.0001,1000,8,0.0025474101330314,0.0019813189923577,0.0008491367110104,0.0022643645626945,0.002405887347863,0.0028304557033682,0.0021228417775261,0.0025474101330314,0.0015567506368525,0.0022643645626945
4136,smtp,IF,0.2,auto,auto,0,0.0001,0.0001,1000,8,0.0029719784885366,0.003113501273705,0.0029719784885366,0.0022643645626945,0.0026889329181998,0.0029719784885366,0.0032550240588734,0.0029719784885366,0.0021228417775261,0.0026889329181998
4137,smtp,IF,0.5,auto,auto,0,0.0001,0.0001,1000,8,0.0032550240588734,0.003113501273705,0.0032550240588734,0.0032550240588734,0.0032550240588734,0.003113501273705,0.0032550240588734,0.0032550240588734,0.0032550240588734,0.0032550240588734
4138,smtp,IF,2,auto,auto,0,0.0001,0.0001,1000,8,0.0029719784885366,0.0029726095265057,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029721888047555
4139,smtp,IF,5,auto,auto,0,0.0001,0.0001,1000,8,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366
4140,smtp,IF,1,0.01,auto,0,0.0001,0.0001,1000,8,0.003113501273705,0.0032550240588734,0.003113501273705,0.0029719784885366,0.0032550240588734,0.0032550240588734,0.0032550240588734,0.0032554847841472,0.0032550240588734,0.0029721888047555
4141,smtp,IF,1,0.05,auto,0,0.0001,0.0001,1000,8,0.003113501273705,0.0032550240588734,0.003113501273705,0.003113501273705,0.0029719784885366,0.002972399150743,0.0032550240588734,0.0032550240588734,0.003113501273705,0.003113501273705
4142,smtp,IF,1,0.1,auto,0,0.0001,0.0001,1000,8,0.0032550240588734,0.0029721888047555,0.003113501273705,0.003113501273705,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.003113501273705,0.0029719784885366,0.003113501273705
4143,smtp,IF,1,0.2,auto,0,0.0001,0.0001,1000,8,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366
4144,smtp,IF,1,0.5,auto,0,0.0001,0.0001,1000,8,0.0029719784885366,0.0029719784885366,0.003113501273705,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366
4145,smtp,IF,1,1,auto,0,0.0001,0.0001,1000,8,0.0029719784885366,0.003113501273705,0.0029719784885366,0.003113501273705,0.0029719784885366,0.0022643645626945,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366
4146,smtp,IF,1,2,auto,0,0.0001,0.0001,1000,8,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366
4147,smtp,IF,1,5,auto,0,0.0001,0.0001,1000,8,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.0029719784885366,0.003113501273705,0.0029719784885366,0.0029719784885366
